,transaction_type_ATM Withdrawal,transaction_type_Online,transaction_type_POS,device_type_Laptop,device_type_Mobile,location_Mumbai,location_New York,location_Sydney,location_Tokyo,merchant_Electronics,merchant_Groceries,merchant_Restaurants,merchant_Travel,auth_method_Biometric,auth_method_OTP,auth_method_PIN,card_type_Amex,card_type_Discover,card_type_Visa
0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
4,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
9,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
10,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
11,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
12,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
13,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
14,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
15,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
16,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
17,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
18,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
20,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
21,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
23,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
24,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
26,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
27,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
28,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
31,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
32,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
33,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
34,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
35,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
36,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
37,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
38,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
39,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
40,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
41,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
42,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
43,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
44,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
46,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
