,transaction_type_ATM Withdrawal,transaction_type_Online,transaction_type_POS,device_type_Laptop,device_type_Mobile,location_Mumbai,location_New York,location_Sydney,location_Tokyo,merchant_Electronics,merchant_Groceries,merchant_Restaurants,merchant_Travel,auth_method_Biometric,auth_method_OTP,auth_method_PIN,card_type_Amex,card_type_Discover,card_type_Visa,Account_Balance,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Risk_Score,Is_Weekend,Transaction_Amount_boxcox,Fraud_Label
0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0.9318061509482168,7,0.8727142857142858,3,65,0.1765953020993343,0.8494,0,0.3259134289526922,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7560443278009179,13,0.95665306122449,4,186,0.4406502016129032,0.0959,0,0.0474087620876368,1
2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0109397360726359,14,0.0816530612244897,4,226,0.3818324372759856,0.84,0,0.2867185393899614,1
3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.7669184343015321,8,0.352,4,76,0.2623387896825396,0.7935,0,0.6278465186466807,1
4,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.92317772156438,14,0.6503877551020408,4,140,0.1933583749359959,0.3819,1,0.29593337983747,1
5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.3290168237839961,3,0.4425510204081633,2,51,0.3451000864055299,0.0504,0,0.5487542516874285,0
6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8676943004686635,2,0.5884693877551022,2,168,0.7514360919098823,0.0875,0,0.1043078666937498,0
7,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.4555455129021406,3,0.3150612244897959,4,182,0.3529045858934971,0.5326,0,0.148589996726445,1
8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.943657464690436,7,0.1633061224489796,3,24,0.1100330421146953,0.1347,1,0.3070177082970718,0
9,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.9182058543387328,6,0.947795918367347,1,124,0.1441412250384024,0.3394,0,0.2232497164996018,0
10,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0.142109732443411,4,0.7909795918367347,0,136,0.0584257392473118,0.643,0,0.7055037065374268,0
11,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.1955996427258765,14,0.548061224489796,1,131,0.7987251184075781,0.4582,0,0.3573089225413595,0
12,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.896141654546637,6,0.9664897959183674,4,192,0.7443056355606759,0.5837,0,0.3705011672473265,1
13,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0.5104299259591893,11,0.2910816326530612,2,91,0.2122175819252432,0.1454,0,0.3669190499757463,0
14,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.1197984920877169,6,0.3346326530612244,0,5,0.1524017537122375,0.0793,1,0.1743604394757631,0
15,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.2310329783071651,1,0.0160204081632653,2,3,0.6756812435995904,0.2245,0,0.3925114398574404,0
16,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.9294416772707508,12,0.9131020408163266,3,135,0.0790270577316948,0.1136,1,0.3170354225514701,0
17,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.6289170326629234,13,0.6112040816326532,1,47,0.4149305555555555,0.3433,0,0.0584732415634074,0
18,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.6217124534273762,4,0.982061224489796,4,29,0.4318396377368151,0.444,1,0.5593836485316113,1
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.3408670319744662,9,0.3132653061224489,3,129,0.8873287890424987,0.2924,0,0.2415489787409277,0
20,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.5563025846895354,13,0.3463877551020408,3,204,0.126756112391193,0.1305,1,0.2554270189864624,0
21,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.7348545189377498,4,0.9636734693877552,4,173,0.9446544578853048,0.8633,1,0.5844633702407426,1
22,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.88234879092338,12,0.5580204081632654,0,80,0.1250920058883768,0.7883,1,0.3701233634033599,0
23,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.7184362714242111,2,0.054,2,165,0.680467549923195,0.0233,0,0.2289354358531879,0
24,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.2960281646343443,3,0.4563265306122449,4,120,0.7913086437532002,0.408,1,0.4087261307444969,1
25,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.578687796507723,4,0.9900000000000002,0,85,0.7871063748079877,0.1379,0,0.5697483272785251,0
26,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0.5156206924311817,1,0.7605510204081634,2,86,0.9927115335381465,0.5355,0,0.0825287000093576,0
27,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8492667629032714,14,0.4426530612244898,1,65,0.809175787250384,0.2553,1,0.5766338114702216,0
28,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.3784469470339202,9,0.5892448979591838,4,232,0.3638912890424987,0.4784,0,0.1590331136797795,1
29,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.7192127707709807,9,0.8671632653061225,2,92,0.9559211789554533,0.4097,0,0.410797040416251,0
30,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.3969578029993217,13,0.0661632653061224,2,152,0.5544814868151562,0.9658,0,0.175794032765982,1
31,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.3213318320610611,14,0.5266938775510204,0,225,0.3893749199948796,0.8843,0,0.5780345609536947,1
32,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0102974105063396,8,0.5459795918367346,3,103,0.2063032034050179,0.6745,0,0.3728762719453724,0
33,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.3893180383934002,11,0.1151020408163265,1,38,0.3095838133640552,0.5475,1,0.0158011794045729,0
34,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.7540441836771717,14,0.1207959183673469,1,45,0.7756156394009216,0.6558,0,0.3903717626988653,0
35,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.4036224709624321,5,0.3696122448979592,2,20,0.6111251120071685,0.1327,0,0.5249832357498335,0
36,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.4278809899673189,7,0.2650204081632653,0,228,0.6848018273169483,0.7918,1,0.4994503818300581,0
37,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0.6120380715840739,9,0.384,2,195,0.1680507552483358,0.5575,0,0.2168679391765542,0
38,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.6019620729416914,10,0.5763673469387756,4,95,0.9061299923195084,0.8746,0,0.4247018288370493,1
39,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0.3438926255979653,8,0.5242040816326531,2,87,0.4703100998463901,0.4547,0,0.0927109929536202,0
40,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0.5992569888207613,10,0.7739387755102042,0,206,0.7902845782130057,0.3199,1,0.1731834749744823,0
41,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.2593158061839138,2,0.3495918367346939,2,162,0.2397853462621607,0.8063,1,0.2684075839418877,0
42,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.37968526549775,2,0.8456734693877551,1,158,0.8367755536354325,0.703,0,0.5132924496141541,0
43,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0808922164433133,13,0.6525306122448981,4,17,0.9881932443676394,0.5676,0,0.3253961278104175,1
44,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.426046980120069,5,0.8661632653061225,4,106,0.2592205901177675,0.7972,1,0.1920823393774274,1
45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.1889979912124716,13,0.7316938775510204,3,44,0.1330445148489503,0.7823,0,0.5016529921141378,0
46,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0.1168040549226048,6,0.7210204081632654,0,159,0.0284158186123911,0.8096,0,0.2040072579836456,0
47,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.3465523820971774,4,0.2408571428571429,3,121,0.9020877336149512,0.3406,0,0.6422224177872267,0
48,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0.242480464146806,13,0.0281020408163265,2,25,0.5012520801331285,0.6866,0,0.2635557389818658,0
49,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.9900180737610058,3,0.7200204081632654,3,211,0.6179135464669738,0.5454,1,0.4055679961859755,0
50,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.8580341902933964,3,0.5553265306122449,3,163,0.1633644553251408,0.3183,1,0.2584469478005829,0
51,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6900730397838828,14,0.5847346938775511,4,185,0.9254952316948284,0.9537,0,0.4461284102590212,1
52,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.8560809818666397,5,0.8023061224489796,3,64,0.0459069380440348,0.1398,0,0.4785847865588586,0
53,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4449863881453495,11,0.897265306122449,2,179,0.6705889176907323,0.1848,1,0.5935011811140497,0
54,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0.7552931556396758,3,0.7783673469387755,0,62,0.3711597542242703,0.0077,0,0.0913996048089664,0
55,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0034289190025551,9,0.3570816326530612,3,51,0.9445924539170506,0.6362,0,0.6678973380379415,0
56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.9680736755766434,5,0.5645102040816327,1,202,0.3214925755248335,0.9372,0,0.2393916202701973,1
57,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.8024164949125021,4,0.7474081632653062,0,209,0.4282154057859703,0.7429,0,0.320369013762697,0
58,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.8449608398494721,5,0.5484081632653062,1,143,0.724786386328725,0.9892,1,0.4033987576290311,1
59,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.9123003989132226,5,0.8442244897959185,3,132,0.7739075300819253,0.4975,0,0.2893135873207505,0
60,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4997936135893618,11,0.5126122448979592,2,11,0.1473394297235022,0.8829,0,0.6086535841228832,1
61,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.8952773140881566,10,0.756326530612245,2,223,0.5082085253456221,0.319,0,0.2672551676311793,0
62,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0.3822304466338613,5,0.7904285714285715,2,8,0.0013520865335381,0.7501,1,0.6138200212685603,0
63,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.6626182701672991,13,0.2449795918367347,0,108,0.3401357686891961,0.4144,1,0.6664351398484436,0
64,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.885933994741393,3,0.0917959183673469,2,55,0.4508228526625703,0.4566,0,0.2897955272403861,0
65,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.7238084488877798,4,0.9165510204081634,1,93,0.2758336533538146,0.6091,0,0.4958126425002822,0
66,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7702687586251882,3,0.9277551020408163,0,105,0.6122071812596006,0.1976,0,0.282409657338486,0
67,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.4447243723807845,10,0.6786530612244899,3,182,0.6187836021505376,0.673,0,0.3075222932332645,0
68,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.8311556141475649,10,0.0558979591836734,1,151,0.2995751728110599,0.3344,0,0.4508420796998529,0
69,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.8288006884170239,11,0.6705918367346939,2,103,0.8531486015104968,0.0055,0,0.2975470134547437,0
70,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6742387246033407,13,0.5972244897959184,3,41,0.9713141641065028,0.0958,0,0.5729348776965494,0
71,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1147523518854632,11,0.7473673469387755,3,231,0.0027461757552483,0.3889,0,0.3392078739019354,0
72,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.4844755910757049,7,0.214469387755102,3,168,0.6816476254480287,0.3222,0,0.2713642871907074,0
73,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.7117863776526584,7,0.6247346938775511,0,68,0.5369103622631849,0.6492,0,0.721322363917681,0
74,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.4740266194750177,4,0.2021836734693877,2,20,0.7144857270865335,0.2708,0,0.3893270798068647,0
