,Account_Balance,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Risk_Score,Is_Weekend,Transaction_Amount_boxcox
0,93213.17,7,437.63,3,65,883.17,0.8494,0,5.9173739838528805
1,75725.25,13,478.76,4,186,2203.36,0.0959,0,0.8607665424696991
2,1588.96,14,50.01,4,226,1909.29,0.84,0,5.2057407733288805
3,76807.2,8,182.48,4,76,1311.86,0.7935,0,11.399354323113055
4,92354.66,14,328.69,4,140,966.98,0.3819,1,5.373047954578407
5,33236.94,3,226.85,2,51,1725.64,0.0504,0,9.963333339465398
6,86834.18,2,298.35,2,168,3757.19,0.0875,0,1.893842357672176
7,45826.27,3,164.38,4,182,1764.66,0.5326,0,2.697840907370158
8,94392.35,7,90.02,3,24,550.38,0.1347,1,5.57429807509691
9,91859.97,6,474.42,1,124,720.91,0.3394,0,4.053383343430847
10,14640.09,4,397.58,0,136,292.36,0.643,0,12.809319615922693
11,19962.22,14,278.55,1,131,3993.62,0.4582,0,6.487399212849403
12,89664.63,6,483.58,4,192,3721.54,0.5837,0,6.726921241329676
13,51287.15,11,152.63,2,91,1061.27,0.1454,0,6.661883333508345
14,12420.17,6,173.97,0,5,762.21,0.0793,1,3.165736163994641
15,23487.76,1,17.85,2,3,3378.44,0.2245,0,7.126545813226352
16,92977.91,12,457.42,3,135,395.36,0.1136,1,5.756182454323435
17,63076.36,13,309.49,1,47,2074.77,0.3433,0,1.0616562793706696
18,62359.52,4,491.21,4,29,2159.31,0.444,1,10.15632359627051
19,34416.01,9,163.5,3,129,4436.61,0.2924,0,4.385629788931689
20,55851.38,13,179.73,3,204,633.99,0.1305,1,4.637603310120073
21,73616.91,4,482.2,4,173,4723.22,0.8633,1,10.611677931440989
22,88292.27,12,283.43,0,80,625.67,0.7883,1,6.720061730678421
23,71983.33,2,36.46,2,165,3402.37,0.0233,0,4.156614830057569
24,29954.64,3,233.6,4,120,3956.54,0.408,1,7.420944207056303
25,58078.66,4,495.1,0,85,3935.53,0.1379,0,10.344507558389124
26,51803.62,1,382.67,2,86,4963.49,0.5355,0,1.4984138086174374
27,85000.68,14,226.9,1,65,4045.87,0.2553,1,10.469522305873154
28,38155.13,9,298.73,4,232,1819.59,0.4784,0,2.887449015169129
29,72060.59,9,434.91,2,92,4779.55,0.4097,0,7.458544213456548
30,39996.92,13,42.42,2,152,2772.48,0.9658,0,3.1917648786328416
31,32472.3,14,268.08,0,225,1947.0,0.8843,0,10.494954699309762
32,1525.05,8,277.53,3,103,1031.7,0.6745,0,6.770044296413065
33,39236.78,11,66.4,1,38,1548.07,0.5475,1,0.2868905654586703
34,75526.24,14,69.19,1,45,3878.08,0.6558,0,7.087697245394449
35,40660.04,5,191.11,2,20,3055.68,0.1327,0,9.531740226745594
36,43073.71,7,139.86,0,228,3424.04,0.7918,1,9.06815869835044
37,61396.94,9,198.16,2,195,840.45,0.5575,0,3.9375140365922334
38,60394.4,10,292.42,4,95,4530.61,0.8746,0,7.711003381882388
39,34717.05,8,266.86,2,87,2351.65,0.4547,0,1.6832863238677809
40,60125.25,10,389.23,0,206,3951.42,0.3199,1,3.14436687233281
41,26301.84,2,181.3,2,162,1199.1,0.8063,1,4.873282022745614
42,38278.34,2,424.38,1,158,4183.86,0.703,0,9.319479093620886
43,8549.08,13,329.74,4,17,4940.9,0.5676,0,5.907981721831184
44,42891.23,5,434.42,4,106,1296.27,0.7972,1,3.4874998598311056
45,19305.37,13,368.53,3,44,665.43,0.7823,0,9.108149897342953
46,12122.23,6,363.3,0,159,142.32,0.8096,0,3.704011966579064
