,transaction_type_ATM Withdrawal,transaction_type_Online,transaction_type_POS,device_type_Laptop,device_type_Mobile,location_Mumbai,location_New York,location_Sydney,location_Tokyo,merchant_Electronics,merchant_Groceries,merchant_Restaurants,merchant_Travel,auth_method_Biometric,auth_method_OTP,auth_method_PIN,card_type_Amex,card_type_Discover,card_type_Visa,Account_Balance,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Risk_Score,Is_Weekend,Transaction_Amount_boxcox,Fraud_Label
0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,93213.17,7,437.63,3,65,883.17,0.8494,0,5.9173739838528805,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75725.25,13,478.76,4,186,2203.36,0.0959,0,0.8607665424696991,1
2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1588.96,14,50.01,4,226,1909.29,0.84,0,5.2057407733288805,1
3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,76807.2,8,182.48,4,76,1311.86,0.7935,0,11.399354323113055,1
4,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,92354.66,14,328.69,4,140,966.98,0.3819,1,5.373047954578407,1
5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,33236.94,3,226.85,2,51,1725.64,0.0504,0,9.963333339465398,0
6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86834.18,2,298.35,2,168,3757.19,0.0875,0,1.893842357672176,0
7,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,45826.27,3,164.38,4,182,1764.66,0.5326,0,2.697840907370158,1
8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,94392.35,7,90.02,3,24,550.38,0.1347,1,5.57429807509691,0
9,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,91859.97,6,474.42,1,124,720.91,0.3394,0,4.053383343430847,0
10,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,14640.09,4,397.58,0,136,292.36,0.643,0,12.809319615922693,0
11,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,19962.22,14,278.55,1,131,3993.62,0.4582,0,6.487399212849403,0
12,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,89664.63,6,483.58,4,192,3721.54,0.5837,0,6.726921241329676,1
13,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,51287.15,11,152.63,2,91,1061.27,0.1454,0,6.661883333508345,0
14,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,12420.17,6,173.97,0,5,762.21,0.0793,1,3.165736163994641,0
