Transaction_Amount,Account_Balance,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Risk_Score,Is_Weekend,Fraud_Label,Timestamp_month,Timestamp_day,Timestamp_hour
80.39,32068.28,0,0,5,112.75,4,142,3674.33,0.3668,0,1,4,13,16
196.6,94961.81,0,0,8,199.95,1,32,796.99,0.4866,0,0,3,27,5
21.88,39354.55,0,0,7,234.75,2,203,2286.33,0.2961,1,0,9,27,23
121.23,46138.99,0,0,8,344.98,2,137,4924.98,0.3362,0,0,9,10,13
34.53,52750.58,0,0,6,456.77,1,8,4924.36,0.0804,0,0,1,13,6
171.18,15433.61,0,0,2,340.87,1,196,1566.34,0.6413,0,0,2,10,1
242.82,50424.21,0,0,4,401.13,3,12,430.29,0.4354,0,0,7,25,1
117.64,92890.69,0,0,14,155.9,1,117,2378.6,0.5596,0,0,6,9,8
152.65,75112.94,0,0,10,10.19,0,183,3325.89,0.9628,0,1,1,11,21
40.55,25386.7,0,0,4,275.57,0,124,1076.7,0.6214,1,0,5,31,16
69.93,53408.2,0,0,5,306.77,2,141,739.65,0.8097,0,0,12,12,9
11.63,57702.56,0,0,4,489.88,0,190,1430.56,0.1699,1,0,12,10,7
16.36,36602.4,0,0,2,142.91,4,232,2328.8,0.038,0,1,5,3,8
119.1,39895.66,0,1,7,480.19,0,238,4339.85,0.6509,0,0,8,28,15
28.65,88450.7,0,0,10,130.5,3,148,1868.82,0.2338,0,0,9,29,9
41.2,3282.61,0,0,5,222.61,4,234,1871.08,0.7417,1,1,1,28,5
130.38,7502.31,0,1,9,461.15,3,28,2589.59,0.8009,1,0,1,13,13
330.35,95420.85,0,0,10,96.77,3,196,928.04,0.4683,0,0,8,20,19
63.47,71870.22,0,0,6,347.56,1,112,4912.58,0.2814,1,0,7,13,11
82.92,81109.83,0,0,3,226.65,1,76,380.41,0.3931,0,0,3,12,3
35.58,73378.37,0,0,9,271.6,1,50,192.32,0.7657,0,0,1,3,23
54.53,65640.99,0,0,12,133.27,0,226,56.81,0.9938,0,1,12,30,11
211.9,21084.96,0,1,10,493.44,0,136,2729.37,0.5116,0,0,8,22,1
12.23,59627.21,0,0,9,425.14,1,206,3615.42,0.0092,1,0,8,21,21
131.91,34407.09,0,0,11,275.24,2,220,3780.56,0.2993,0,0,9,17,4
106.77,70851.43,0,1,5,498.07,0,121,1908.78,0.5758,0,0,9,26,18
128.54,78460.65,0,0,7,225.55,4,177,257.38,0.4069,0,1,7,27,2
74.22,75867.81,0,1,7,259.37,3,58,682.27,0.1756,0,0,4,5,13
293.18,70127.52,1,0,8,20.21,4,42,2286.72,0.6124,1,1,6,21,6
68.33,89812.33,0,0,3,241.53,0,31,2504.24,0.8653,1,1,9,16,17
10.95,42060.45,0,0,1,463.35,4,23,4403.84,0.2126,0,1,5,20,20
42.57,4469.29,0,0,14,390.67,0,175,1295.35,0.6484,1,0,10,24,6
4.89,58162.78,0,0,5,180.87,3,138,1471.29,0.8735,0,1,2,28,21
1.19,75725.25,0,0,13,478.76,4,186,2203.36,0.0959,0,1,6,7,4
82.87,88327.01,0,0,13,494.23,3,90,1839.46,0.292,0,0,2,24,19
61.01,34161.76,0,1,13,414.72,0,224,4368.11,0.8801,0,1,12,10,20
119.39,52074.77,0,0,1,298.46,4,60,3917.91,0.487,0,1,10,24,1
2.48,71478.72,0,0,9,434.47,2,234,4950.85,0.0688,0,0,5,14,14
275.65,85737.26,0,0,12,488.71,4,81,4465.95,0.2202,0,1,12,2,11
29.55,2240.1,0,0,2,104.46,0,105,4841.55,0.9665,0,1,11,19,5
391.11,18665.92,0,0,10,459.58,2,111,2769.19,0.2425,0,0,7,26,20
182.61,62007.0,0,0,11,490.01,1,34,1756.74,0.4149,0,0,5,12,15
117.48,45542.36,0,0,4,388.25,4,77,3203.66,0.4494,0,1,10,20,6
71.57,43186.9,0,0,6,46.97,1,182,635.42,0.7895,0,0,10,18,11
15.58,81228.01,0,0,3,87.19,0,51,167.05,0.6615,0,0,3,29,4
34.17,3504.52,0,0,6,40.08,1,67,2456.53,0.7734,1,0,4,26,17
30.82,41707.02,0,0,10,91.45,2,126,4274.32,0.4959,0,0,12,19,17
211.64,70568.72,0,0,2,471.34,3,136,2000.97,0.4062,0,0,6,17,13
18.65,61657.66,0,0,9,52.79,3,52,3827.1,0.3112,0,0,12,22,19
69.37,41663.07,0,0,9,336.7,1,116,1669.78,0.7091,0,0,8,30,20
93.83,19389.55,0,0,2,443.9,3,206,2579.97,0.4603,1,0,3,13,6
6.75,20855.47,0,1,5,284.96,1,182,2200.25,0.4277,0,0,10,6,6
152.78,26791.24,0,0,13,256.36,1,106,4789.71,0.83,1,0,6,20,4
30.0,11517.16,0,0,13,408.73,0,135,3844.04,0.9935,1,1,5,4,21
158.35,86152.6,0,0,2,313.99,2,120,2553.74,0.3259,0,0,10,4,8
43.32,99653.71,0,0,11,306.4,0,149,3888.87,0.0931,0,0,11,9,22
16.68,30448.65,0,0,14,125.72,4,172,4249.52,0.9112,0,1,12,31,18
18.0,55286.14,0,0,3,253.64,4,50,813.14,0.1114,0,1,12,4,8
64.51,77423.16,0,0,10,197.89,1,17,3695.45,0.4752,0,0,7,6,22
100.44,4647.71,0,0,14,113.19,2,204,4558.46,0.2569,0,0,4,25,6
62.51,50216.88,0,0,6,282.5,2,1,4641.34,0.2781,0,0,5,16,15
126.03,73063.2,0,0,3,44.37,4,29,3902.97,0.2435,0,1,3,27,6
21.01,42245.15,0,0,5,378.41,4,71,3464.51,0.5291,0,1,12,27,20
124.98,40964.44,0,0,9,303.7,1,22,4413.01,0.9449,1,1,5,20,10
69.11,41476.64,0,0,7,353.26,4,14,2520.57,0.6391,0,1,7,15,22
4.52,97374.69,0,0,5,96.14,0,188,2596.09,0.962,0,1,9,14,11
103.71,80340.28,0,0,6,276.04,3,171,4005.18,0.0968,1,0,7,11,2
85.01,71200.65,0,0,6,328.32,1,118,4101.8,0.4153,0,0,5,9,11
64.93,6989.61,0,0,10,85.29,4,239,1567.18,0.4166,0,1,2,16,1
154.59,80411.71,0,0,10,491.89,4,237,367.12,0.8846,0,1,1,31,0
83.84,49135.29,0,0,14,260.13,3,31,3613.11,0.858,0,1,8,14,1
15.66,37248.15,0,0,9,118.33,1,72,4847.54,0.1079,1,0,7,22,15
44.06,91551.55,0,0,8,324.92,2,178,3956.54,0.9332,1,1,2,18,12
7.31,47213.52,0,0,2,268.83,3,114,294.92,0.6188,0,0,5,21,14
41.39,36837.71,0,0,7,466.61,0,163,3927.61,0.2023,1,0,4,16,23
94.1,3779.15,0,0,11,176.36,4,63,557.37,0.9989,0,1,10,26,9
56.95,71841.36,0,0,5,276.25,3,179,2481.36,0.7363,1,0,12,6,1
3.44,79030.8,0,0,10,75.91,4,41,3111.45,0.3078,0,1,7,8,3
3.19,66607.47,0,0,13,355.82,3,68,914.47,0.4092,0,0,4,25,13
121.09,27952.55,0,0,2,482.73,1,86,3445.67,0.4855,0,0,12,30,15
81.85,48541.09,0,0,1,219.1,1,230,2270.62,0.54,0,0,4,4,4
69.48,9813.57,0,0,13,267.89,4,169,3368.37,0.5748,0,1,9,28,8
148.23,93294.46,0,0,2,310.54,2,3,1187.41,0.7617,1,0,4,6,9
76.94,74407.54,0,1,14,392.03,0,162,2575.45,0.1424,0,0,10,23,7
