Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label
80.39,ATM Withdrawal,2023-04-13 16:02:00,32068.28,Tablet,London,Travel,0,0,5,112.75,4,Mastercard,142,3674.33,PIN,0.3668,0,1
196.6,Bank Transfer,2023-03-27 05:02:00,94961.81,Mobile,New York,Electronics,0,0,8,199.95,1,Visa,32,796.99,OTP,0.4866,0,0
21.88,ATM Withdrawal,2023-09-27 23:30:00,39354.55,Tablet,Sydney,Electronics,0,0,7,234.75,2,Mastercard,203,2286.33,OTP,0.2961,1,0
121.23,Online,2023-09-10 13:13:00,46138.99,Mobile,London,Travel,0,0,8,344.98,2,Discover,137,4924.98,PIN,0.3362,0,0
34.53,Online,2023-01-13 06:58:00,52750.58,Mobile,Sydney,Groceries,0,0,6,456.77,1,Amex,8,4924.36,Password,0.0804,0,0
171.18,ATM Withdrawal,2023-02-10 01:31:00,15433.61,Mobile,Tokyo,Groceries,0,0,2,340.87,1,Amex,196,1566.34,Password,0.6413,0,0
242.82,POS,2023-07-25 01:59:00,50424.21,Mobile,Sydney,Travel,0,0,4,401.13,3,Amex,12,430.29,Password,0.4354,0,0
117.64,POS,2023-06-09 08:49:00,92890.69,Tablet,London,Groceries,0,0,14,155.9,1,Visa,117,2378.6,Password,0.5596,0,0
152.65,Online,2023-01-11 21:19:00,75112.94,Mobile,New York,Electronics,0,0,10,10.19,0,Mastercard,183,3325.89,PIN,0.9628,0,1
40.55,ATM Withdrawal,2023-05-31 16:32:00,25386.7,Tablet,Sydney,Restaurants,0,0,4,275.57,0,Mastercard,124,1076.7,PIN,0.6214,1,0
69.93,ATM Withdrawal,2023-12-12 09:32:00,53408.2,Laptop,Mumbai,Travel,0,0,5,306.77,2,Discover,141,739.65,Biometric,0.8097,0,0
11.63,Online,2023-12-10 07:51:00,57702.56,Tablet,Sydney,Groceries,0,0,4,489.88,0,Discover,190,1430.56,Biometric,0.1699,1,0
16.36,POS,2023-05-03 08:33:00,36602.4,Tablet,New York,Travel,0,0,2,142.91,4,Mastercard,232,2328.8,PIN,0.038,0,1
119.1,ATM Withdrawal,2023-08-28 15:21:00,39895.66,Tablet,London,Groceries,0,1,7,480.19,0,Amex,238,4339.85,Password,0.6509,0,0
28.65,POS,2023-09-29 09:37:00,88450.7,Mobile,Mumbai,Travel,0,0,10,130.5,3,Discover,148,1868.82,OTP,0.2338,0,0
41.2,POS,2023-01-28 05:24:00,3282.61,Laptop,Sydney,Groceries,0,0,5,222.61,4,Amex,234,1871.08,PIN,0.7417,1,1
130.38,Online,2023-01-13 13:51:00,7502.31,Tablet,Mumbai,Electronics,0,1,9,461.15,3,Amex,28,2589.59,OTP,0.8009,1,0
330.35,POS,2023-08-20 19:31:00,95420.85,Laptop,Mumbai,Travel,0,0,10,96.77,3,Discover,196,928.04,Password,0.4683,0,0
63.47,ATM Withdrawal,2023-07-13 11:07:00,71870.22,Tablet,Mumbai,Groceries,0,0,6,347.56,1,Visa,112,4912.58,Password,0.2814,1,0
82.92,Online,2023-03-12 03:01:00,81109.83,Tablet,Sydney,Restaurants,0,0,3,226.65,1,Mastercard,76,380.41,PIN,0.3931,0,0
35.58,Bank Transfer,2023-01-03 23:50:00,73378.37,Tablet,Tokyo,Restaurants,0,0,9,271.6,1,Discover,50,192.32,Password,0.7657,0,0
54.53,Bank Transfer,2023-12-30 11:37:00,65640.99,Tablet,Mumbai,Electronics,0,0,12,133.27,0,Discover,226,56.81,Biometric,0.9938,0,1
211.9,Online,2023-08-22 01:28:00,21084.96,Mobile,New York,Electronics,0,1,10,493.44,0,Amex,136,2729.37,OTP,0.5116,0,0
12.23,Online,2023-08-21 21:52:00,59627.21,Mobile,Tokyo,Electronics,0,0,9,425.14,1,Amex,206,3615.42,Password,0.0092,1,0
131.91,ATM Withdrawal,2023-09-17 04:28:00,34407.09,Mobile,London,Restaurants,0,0,11,275.24,2,Amex,220,3780.56,Biometric,0.2993,0,0
106.77,POS,2023-09-26 18:15:00,70851.43,Mobile,New York,Electronics,0,1,5,498.07,0,Amex,121,1908.78,PIN,0.5758,0,0
128.54,POS,2023-07-27 02:42:00,78460.65,Tablet,New York,Travel,0,0,7,225.55,4,Discover,177,257.38,PIN,0.4069,0,1
74.22,Online,2023-04-05 13:50:00,75867.81,Laptop,Sydney,Electronics,0,1,7,259.37,3,Discover,58,682.27,Password,0.1756,0,0
293.18,Bank Transfer,2023-06-21 06:58:00,70127.52,Mobile,Tokyo,Restaurants,1,0,8,20.21,4,Amex,42,2286.72,PIN,0.6124,1,1
68.33,ATM Withdrawal,2023-09-16 17:35:00,89812.33,Tablet,London,Restaurants,0,0,3,241.53,0,Discover,31,2504.24,PIN,0.8653,1,1
10.95,POS,2023-05-20 20:59:00,42060.45,Laptop,New York,Clothing,0,0,1,463.35,4,Visa,23,4403.84,PIN,0.2126,0,1
42.57,Online,2023-10-24 06:13:00,4469.29,Tablet,Mumbai,Clothing,0,0,14,390.67,0,Visa,175,1295.35,PIN,0.6484,1,0
4.89,POS,2023-02-28 21:53:00,58162.78,Tablet,London,Groceries,0,0,5,180.87,3,Visa,138,1471.29,OTP,0.8735,0,1
1.19,Bank Transfer,2023-06-07 04:01:00,75725.25,Mobile,New York,Clothing,0,0,13,478.76,4,Mastercard,186,2203.36,Password,0.0959,0,1
82.87,ATM Withdrawal,2023-02-24 19:59:00,88327.01,Mobile,Sydney,Restaurants,0,0,13,494.23,3,Discover,90,1839.46,PIN,0.292,0,0
61.01,Online,2023-12-10 20:39:00,34161.76,Tablet,Tokyo,Groceries,0,1,13,414.72,0,Amex,224,4368.11,OTP,0.8801,0,1
119.39,Bank Transfer,2023-10-24 01:45:00,52074.77,Laptop,London,Groceries,0,0,1,298.46,4,Visa,60,3917.91,OTP,0.487,0,1
2.48,ATM Withdrawal,2023-05-14 14:44:00,71478.72,Laptop,Mumbai,Groceries,0,0,9,434.47,2,Discover,234,4950.85,Biometric,0.0688,0,0
