Transaction_Type_Bank Transfer,Transaction_Type_Online,Transaction_Type_POS,Device_Type_Mobile,Device_Type_Tablet,Location_Mumbai,Location_New York,Location_Sydney,Location_Tokyo,Merchant_Category_Electronics,Merchant_Category_Groceries,Merchant_Category_Restaurants,Merchant_Category_Travel,Card_Type_Discover,Card_Type_Mastercard,Card_Type_Visa,Authentication_Method_OTP,Authentication_Method_PIN,Authentication_Method_Password,Account_Balance,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Risk_Score,Is_Weekend,Timestamp_month,Timestamp_day,Timestamp_hour,Transaction_Amount_boxcox
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.3172724208236069,0,0,0.3076923076923077,0.2096938775510204,1.0,0.592436974789916,0.734863031233999,0.3667366736673667,0,0.2727272727272727,0.4,0.6956521739130435,0.4244435610280679
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0.9493843360423472,0,0,0.5384615384615385,0.3876530612244898,0.25,0.1302521008403361,0.1593581989247311,0.4865486548654865,0,0.1818181818181818,0.8666666666666667,0.217391304347826,0.5772245189414695
0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.3905031344518744,0,0,0.4615384615384616,0.4586734693877551,0.5,0.8487394957983193,0.4572452636968765,0.296029602960296,1,0.7272727272727273,0.8666666666666667,1.0,0.2545201138117725
0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.4586902017398232,0,0,0.5384615384615385,0.6836326530612246,0.5,0.5714285714285714,0.985009040578597,0.3361336133613361,0,0.7272727272727273,0.3,0.5652173913043478,0.4905437546905589
0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.5251400387507379,0,0,0.3846153846153846,0.9117755102040817,0.25,0.0294117647058823,0.984885032642089,0.0803080308030803,0,0.0,0.4,0.2608695652173913,0.3078024990731624
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.1500855398720731,0,0,0.0769230769230769,0.6752448979591837,0.25,0.819327731092437,0.313238047235023,0.6412641264126412,0,0.0909090909090909,0.3,0.0434782608695652,0.5513650797822701
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.5017588388688514,0,0,0.2307692307692307,0.7982244897959184,0.75,0.0462184873949579,0.0860135048643113,0.4353435343534353,0,0.5454545454545454,0.8,0.0434782608695652,0.6183468607057978
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.9285685282820284,0,0,1.0000000000000002,0.2977551020408163,0.25,0.4873949579831932,0.4757004448284689,0.5595559555955595,0,0.4545454545454545,0.2666666666666666,0.3478260869565217,0.4854803023160101
0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0.7498931128493128,0,0,0.6923076923076923,0.0003877551020408,0.0,0.7647058823529411,0.6651705709165386,0.9627962796279628,0,0.0,0.3333333333333333,0.9130434782608696,0.5306067387502769
0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.2501191487702299,0,0,0.2307692307692307,0.5419795918367347,0.0,0.5168067226890756,0.2153037794418842,0.6213621362136212,1,0.3636363636363636,1.0,0.6956521739130435,0.3281218111127728
